TICid,Tsys,freq
103195323,269.2425010183379,180
103195323,234.29729869892026,190
267694283,1415.0423021936492,110
267694283,1145.2910287688228,120
267694283,942.9383164088281,130
267694283,787.4821532157707,140
267694283,665.7422376300837,150
267694283,568.7184348152066,160
267694283,490.302542508065,170
267694283,426.1082327398927,180
267694283,372.9679650439148,190
470315428,1420.9570045389357,110
470315428,1150.397648406074,120
470315428,947.3289984452316,130
470315428,791.2609199993086,140
470315428,668.9789800132684,150
470315428,571.5236193580611,160
470315428,492.7395957655163,170
470315428,428.2239018106172,180
470315428,374.81644813336464,190
85031598,1246.6995912957514,110
85031598,1003.8924927450857,120
85031598,822.7212603806687,130
85031598,684.366599317379,140
85031598,576.5125005120983,150
85031598,490.99228674177766,160
85031598,422.1592849606966,170
85031598,366.0377024849475,180
85031598,319.7608953136686,190
27677846,1426.7668631593722,110
27677846,1156.7652591525714,120
27677846,953.8790421478615,130
27677846,797.7867515714521,140
27677846,675.2432973212474,150
27677846,577.4724012417636,160
27677846,498.30581069471646,170
27677846,433.4061042387057,180
27677846,379.5992008965083,190
103448870,942.3879115952809,110
103448870,750.5832130804242,120
103448870,609.0518107416078,130
103448870,502.2050992124633,140
103448870,419.7220955922373,150
103448870,355.03279005034295,160
103448870,303.47583934373773,170
103448870,261.7919014901621,180
103448870,227.71272756441212,190
9837861,1307.073663136455,110
9837861,1054.1815307958113,120
9837861,864.9745760564729,130
9837861,720.0931203215558,140
9837861,606.9940128314621,150
9837861,517.1208370628148,160
9837861,444.73577710912406,170
9837861,385.66384910326417,180
9837861,336.9203157139264,190
121966220,1210.3930069156456,110
121966220,972.3389754657178,120
121966220,795.4015303288239,130
121966220,660.6227431003261,140
121966220,555.8442571412936,150
121966220,472.92309087709594,160
121966220,406.2907353141897,170
121966220,352.0342538407161,180
121966220,307.3364455221341,190
142090065,792.1383249404826,110
142090065,628.4099921787893,120
142090065,507.7834834004346,130
142090065,417.09931707638924,140
142090065,347.3390172164343,150
142090065,292.94327341342415,160
142090065,249.68423250578314,170
142090065,214.8981561085503,180
142090065,186.52183335075932,190
142117976,782.6925300552417,110
142117976,620.330159710472,120
142117976,501.1688335334328,130
142117976,411.43917319256127,140
142117976,342.55007240340325,150
142117976,288.7442058653355,160
142117976,246.03861321206554,170
142117976,211.6767232233838,180
142117976,183.69896516198128,190
321041369,1120.1636198165036,110
321041369,898.552886453283,120
321041369,733.8561046906709,130
321041369,608.5082519960292,140
321041369,511.17353331880406,150
321041369,434.2699742534374,160
321041369,372.5836052476439,170
321041369,322.4355768132253,180
321041369,281.2033381989806,190
468828873,932.2920227249904,110
468828873,743.7672531295631,120
468828873,604.3460640935385,130
468828873,498.7486857591472,140
468828873,417.1299048249455,150
468828873,353.0153928495165,160
468828873,301.85360336917324,170
468828873,260.4842162732009,180
468828873,226.60557825329508,190
445805961,795.0216756312333,110
445805961,631.8448462485624,120
445805961,511.54281661600515,130
445805961,420.79963711694444,140
445805961,350.93594072088257,150
445805961,296.25310442655876,160
445805961,252.75752941869678,170
445805961,217.70907323687376,180
445805961,189.11040096185104,190
372757221,699.5423509393071,110
372757221,555.0456501331562,120
372757221,448.60967368684317,130
372757221,368.40517532642025,140
372757221,306.75733150696016,150
372757221,258.5617857953453,160
372757221,220.29630403806271,170
372757221,189.52667452303703,180
372757221,164.46774927239196,190
288132261,715.4887868333309,110
288132261,567.6987436834983,120
288132261,458.80799256436035,130
288132261,376.72719969872634,140
288132261,313.64791730323554,150
288132261,264.3166932668589,160
288132261,225.1578139708573,170
288132261,193.65019508222622,180
288132261,168.0024166617934,190
158002130,729.1497770696523,110
158002130,578.8200851820324,120
158002130,468.0885861658846,130
158002130,384.59100781323065,140
158002130,320.3842644663301,150
158002130,270.15236198438043,160
158002130,230.24268951188142,170
158002130,198.11816802504353,180
158002130,171.94635566297896,190
317597583,1141.4756358070986,110
317597583,911.7829966896664,120
317597583,741.9561343224782,130
317597583,613.3285678710417,140
317597583,513.8588927041562,150
317597583,435.547209029908,160
317597583,372.95113230677873,170
317597583,322.23310677451644,180
317597583,280.65529788362863,190
427730490,1325.4033263788724,110
427730490,1064.3044965544914,120
427730490,870.0693649582032,130
427730490,722.066714405845,140
427730490,607.0425799920641,150
427730490,516.0780726625075,160
427730490,443.0105143413567,170
427730490,383.5755377669304,180
427730490,334.64449894270416,190
367858035,1146.3447880602318,110
367858035,915.1329949025854,120
367858035,744.2037123233958,130
367858035,614.831370660884,140
367858035,514.8439391709201,150
367858035,436.16793324218014,160
367858035,373.31696836579243,170
367858035,322.41344175507174,180
367858035,280.68755020566977,190
